select_box,parent_product_id,product_id,search_term,cluster_id,inf_config,kw-prediction_iteration_selected,kw-target_rank,kw-estimated_additional_sales,kw-estimated_additional_loss,kw-total_soft_score,kw-total_hard_score,sr_rc-prediction_iteration_selected,sr_rc-target_rank,sr_rc-estimated_additional_sales,sr_rc-estimated_additional_loss,sr_rc-total_soft_score,sr_rc-total_hard_score,kw_sr_rc-prediction_iteration_selected,kw_sr_rc-target_rank,kw_sr_rc-estimated_additional_sales,kw_sr_rc-estimated_additional_loss,kw_sr_rc-total_soft_score,kw_sr_rc-total_hard_score,pr-prediction_iteration_selected,pr-target_rank,pr-estimated_additional_sales,pr-estimated_additional_loss,pr-total_soft_score,pr-total_hard_score,total_soft_score_product,color_code,biz_configuration_id,session_id
TRUE,B0BVGKTF15,B0B15NZVJR,eye glass cleaners spray,1,kw,4,1,"19,981",0,1157.81,0,27,1,"19,981",468.78,1.78,-0.96,4,1,"19,981",54.06,19.36,-0.93,1,5,0,0,0,-1.98,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
TRUE,B0BVGKTF15,B0B15NZVJR,eye glass cleaner,1,kw,6,1,"13,116",0,798.48,0,55,1,"13,116",975.12,0.33,-0.89,5,1,"13,116",72.1,10.38,-0.75,1,8,0,0,0,-1.94,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
TRUE,B0BVGKTF15,B0B15NZVJR,glasses cleaner spray,1,kw,6,1,"6,386",0,400.76,0,38,1,"6,386",667.55,0.31,-0.89,6,1,"6,386",90.13,4.24,-0.75,1,8,0,0,0,-1.94,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
TRUE,B0BVGKTF15,B0B15NZVJR,eye glasses cleaner spray,1,kw,4,1,"3,084",0,194.82,0,30,1,"3,084",523.07,0.17,-0.96,4,1,"3,084",54.08,3.28,-0.88,1,5,0,0,0,-1.98,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
TRUE,B0BVGKTF15,B0B15NZVJR,eye glasses cleaner,1,kw,6,1,"5,094",0,305.13,0,56,1,"5,094",993.25,0.11,-0.89,6,1,"5,094",90.13,3.14,-0.75,1,8,0,0,0,-1.95,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
TRUE,B0BVGKTF15,B0B15NZVJR,glasses cleaner,1,kw,18,1,"108,154",0,5671.43,0,60,11.97,"2,508",1065.82,0.1,-0.89,17,1,"108,154",288.49,18.69,-0.75,1,21,0,0,0,-1.94,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
TRUE,B0BVGKTF15,B0B15NZVJR,glasses cleaner kit,1,kw,13,1,"2,017",0,115.74,0,44,12.04,40,776,0,-1.66,12,1,"2,017",198.31,0.65,-0.75,1,19,0,0,0,-1.89,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
TRUE,B0BVGKTF15,B0B15NZVJR,glasses lens cleaner,1,kw,8,1,"1,213",0,69.81,0,100,1.48,715,1923,0,-0.97,7,1.08,"1,095",108.16,0.65,-0.88,1,10,0,0,0,-1.96,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,eye glass cleaners,1,kw,7,1,1270.89,0,57.79,-1,47,7.93,54.29,830.26,0,-2.56,7,1,1270.89,108.16,0.5,-1.75,1,15,0,0,0,-2.89,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
TRUE,B0BVGKTF15,B0B15NZVJR,cleaner for glasses,1,kw,9,1,881,0,53.78,0,66,1,881,1174.9,0,-0.94,8,1,881,126.19,0.46,-0.75,1,11,0,0,0,-1.89,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
