select_box,parent_product_id,product_id,search_term,cluster_id,inf_config,kw-prediction_iteration_selected,kw-target_rank,kw-estimated_additional_sales,kw-estimated_additional_loss,kw-total_soft_score,kw-total_hard_score,sr_rc-prediction_iteration_selected,sr_rc-target_rank,sr_rc-estimated_additional_sales,sr_rc-estimated_additional_loss,sr_rc-total_soft_score,sr_rc-total_hard_score,kw_sr_rc-prediction_iteration_selected,kw_sr_rc-target_rank,kw_sr_rc-estimated_additional_sales,kw_sr_rc-estimated_additional_loss,kw_sr_rc-total_soft_score,kw_sr_rc-total_hard_score,pr-prediction_iteration_selected,pr-target_rank,pr-estimated_additional_sales,pr-estimated_additional_loss,pr-total_soft_score,pr-total_hard_score,total_soft_score_product,color_code,biz_configuration_id,session_id
TRUE,B0DR9NVBTN,B0CGG138ZT,outdoor flood light bulb,1,kw,8,1,18222.69,0,368.37,0,39,1,18222.69,39.96,5.36,-0.97,8,1,18222.69,7.25,40.05,-0.93,1,7,0,0,0,-1.99,17.46,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
TRUE,B0DR9NVBTN,B0CGG138ZT,led flood light bulbs outdoor,1,kw,4,1.15,4567.84,0,90.24,-0.89,30,1,5672.32,30.33,2.6,-0.97,4,1.06,5188.29,3.1,24.94,-0.93,1,4,0,0,0,-1.99,17.46,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
TRUE,B0DR9NVBTN,B0CGG138ZT,flood light bulbs outdoor,1,kw,8,1,5392.68,0,125.37,0,37,1,5392.68,37.8,2.04,-0.97,7,1.05,5048,6.22,14.92,-0.93,1,8,0,0,0,-1.99,17.46,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
TRUE,B0DR9NVBTN,B0CGG138ZT,flood lights outdoor bulbs,1,kw,8,1,7338.52,0,169.56,0,45,1,7338.52,46.47,1.98,-0.96,7,1,7338.52,6.22,21.69,-0.93,1,8,0,0,0,-1.99,17.46,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
TRUE,B0DR9NVBTN,B0CGG138ZT,outdoor flood light bulbs,1,kw,7,1,5287.81,0,110.45,0,40,1,5287.81,41.04,1.5,-0.97,7,1,5287.81,6.22,13.74,-0.93,1,7,0,0,0,-1.99,17.46,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
TRUE,B0DR9NVBTN,B0CGG138ZT,outdoor led flood light bulb,1,kw,4,1,2347.09,0,52.81,-0.83,34,1,2347.09,34.59,1.01,-0.97,4,1,2347.09,3.1,12.74,-0.93,1,4,0,0,0,-1.99,17.46,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
TRUE,B0DR9NVBTN,B0CGG138ZT,led outdoor flood light bulbs,1,kw,4,1,2046.52,0,47.23,-0.83,36,1,2046.52,36.73,0.88,-0.97,4,1,2046.52,3.1,11.36,-0.93,1,4,0,0,0,-1.99,17.46,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
TRUE,B0DR9NVBTN,B0CGG138ZT,led flood light outdoor bulb,1,kw,4,1,2099.62,0,49.64,0,35,1,2099.62,35.66,0.84,-0.97,4,1,2099.62,3.1,11.06,-0.93,1,6,0,0,0,-1.99,17.46,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
TRUE,B0DR9NVBTN,B0CGG138ZT,outdoor flood lights bulbs,1,kw,6,1,1686.32,0,35.77,0,44,1,1686.32,45.38,0.38,-0.97,6,1,1686.32,5.18,5.24,-0.93,1,6,0,0,0,-1.99,17.46,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
TRUE,B0DR9NVBTN,B0CGG138ZT,flood light bulb outdoor,1,kw,16,1,1077.97,0,21.1,0,71,1,1077.97,76.66,0.11,-0.97,14,1,1077.97,13.5,1.43,-0.93,1,12,0,0,0,-1.99,17.46,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
