select_box,parent_product_id,product_id,search_term,cluster_id,inf_config,kw-prediction_iteration_selected,kw-target_rank,kw-estimated_additional_sales,kw-estimated_additional_loss,kw-total_soft_score,kw-total_hard_score,sr_rc-prediction_iteration_selected,sr_rc-target_rank,sr_rc-estimated_additional_sales,sr_rc-estimated_additional_loss,sr_rc-total_soft_score,sr_rc-total_hard_score,kw_sr_rc-prediction_iteration_selected,kw_sr_rc-target_rank,kw_sr_rc-estimated_additional_sales,kw_sr_rc-estimated_additional_loss,kw_sr_rc-total_soft_score,kw_sr_rc-total_hard_score,pr-prediction_iteration_selected,pr-target_rank,pr-estimated_additional_sales,pr-estimated_additional_loss,pr-total_soft_score,pr-total_hard_score,total_soft_score_product,color_code,biz_configuration_id,session_sequence,session_id,optimization_metric
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit fly traps for indoors,1,kw,4,1,716571,0,9642,0,26,1,716571,912,7,-1,3,1,571595,73,97,-1,24,3,14152,0,182,-1,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit fly trap,1,kw,3,1,40295,0,604,0,25,1,49730,875,1,-1,3,1,49730,73,9,-1,24,3,1297,0,19,-1,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit flies,1,kw,3,1,12679,0,190,-1,25,1,12469,877,0,-2,3,1,12679,73,2,-2,24,3,250,0,4,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit fly traps,1,kw,5,1,40748,0,597,0,61,1,40748,2228,0,-1,5,1,40748,145,4,-1,24,6,153,0,2,-1,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit fly,1,kw,10,1,20826,0,259,-1,100,1,13340,6310,0,-2,9,1,21380,291,1,-2,24,10,16,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
TRUE,B0DHRSK1GR,B0D5DJ7V4P,fruit fly trap for indoors,1,kw,4,1,6159,0,123,0,25,1,6159,877,0,-1,4,1,6159,109,1,-1,24,3,129,0,3,-1,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit fly traps for,1,kw,4,1,5420,0,88,-1,37,1,5339,1321,0,-2,4,1,5420,109,1,-2,24,4,56,0,1,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit flies trap,1,kw,3,1,5575,0,83,-1,38,1,5491,1358,0,-2,3,1,5575,73,1,-2,25,4,70,0,1,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit fly traps for indoors sticky,1,kw,20,1,5880,0,80,-1,100,11,163,6314,0,-2,17,1,5880,584,0,-2,24,19,2,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
TRUE,B0DHRSK1GR,B0D5DJ7V4P,indoor fruit fly trap,1,kw,5,1,2342,0,41,0,49,1,2342,1770,0,-1,5,1,2342,146,0,-1,25,5,11,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
TRUE,B0DHRSK1GR,B0D5DJ7V4P,fruit fly trap indoor,1,kw,4,1,2326,0,36,0,50,1,2326,1808,0,-1,4,1,2326,109,0,-1,24,5,14,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit flys,1,kw,5,1,1580,0,26,-1,75,1,1580,2800,0,-2,5,1,1580,146,0,-2,25,7,4,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,reusable fruit fly traps for indoors,1,kw,7,1,1151,0,25,0,100,2,722,6315,0,-1,7,1,1259,218,0,-1,25,10,2,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
TRUE,B0DHRSK1GR,B0D5DJ7V4P,fruit fly and gnat traps for indoors,1,kw,4,1,1159,0,24,0,84,1,1159,3215,0,-1,4,1,1159,109,0,-1,24,8,2,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit flies trap indoor,1,kw,5,1,1533,0,20,-1,50,1,1511,1808,0,-2,5,1,1533,146,0,-2,25,5,8,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit fly gnat traps for indoors,1,kw,4,1,1273,0,20,-1,84,1,1273,3214,0,-2,4,1,1273,109,0,-2,24,8,3,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit fly traps indoor,1,kw,5,1,1112,0,18,0,50,1,1210,1808,0,-1,5,1,1210,146,0,-1,25,5,8,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,cis fruit fly traps for indoors,1,kw,3,1,560,0,8,-1,25,1,560,877,0,-2,3,1,560,73,0,-2,25,3,10,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fly traps,1,kw,23,106,150,0,2,-1,100,132,29,6306,0,-3,59,75,433,2148,0,-2,24,140,0,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fly trap indoor,1,kw,13,108,121,0,2,0,100,118,50,6306,0,-2,24,95,243,839,0,-1,25,126,1,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fly trap,1,kw,22,145,126,0,2,0,100,163,36,6306,0,-2,61,110,398,2226,0,-1,24,171,0,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit fly traps for indoors refill,1,kw,27,19,47,0,1,-2,100,36,8,6314,0,-3,27,17,59,951,0,-2,25,44,0,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fly traps for indoors,1,kw,35,18,76,0,1,0,100,44,6,6314,0,-2,35,15,103,1246,0,-1,25,53,0,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fly traps indoor,1,kw,27,65,54,0,1,-1,100,87,10,6310,0,-2,27,62,60,950,0,-1,25,95,0,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,fruit fly traps for indoor plants,1,kw,3,29,1,0,0,-3,100,26,3,6315,0,-3,23,15,11,804,0,-3,25,34,0,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,plug in fruit fly traps for indoors,1,kw,12,38,6,0,0,-2,100,45,3,6315,0,-3,12,37,7,401,0,-3,24,53,0,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,gnat traps for house indoor,2,kw,7,1,402343,0,4997,-1,84,1,402343,3208,0,-2,7,1,402343,218,21,-2,26,8,820,0,10,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
TRUE,B0DHRSK1GR,B0D5DJ7V4P,gnat trap indoor,2,kw,7,1,16233,0,314,0,100,3,4322,6314,0,-1,7,1,16233,218,1,-1,24,11,14,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
TRUE,B0DHRSK1GR,B0D5DJ7V4P,indoor gnat trap,2,kw,13,1,6583,0,153,0,100,13,131,6314,0,-1,13,1,6583,437,0,-1,25,21,1,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
TRUE,B0DHRSK1GR,B0D5DJ7V4P,gnat traps indoor,2,kw,8,1,3440,0,66,0,100,3,880,6314,0,-1,8,1,3440,255,0,-1,24,11,4,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,gnats traps for indoors,2,kw,7,1,2570,0,51,-1,96,1,2570,4159,0,-2,7,1,2570,218,0,-2,25,9,4,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
TRUE,B0DHRSK1GR,B0D5DJ7V4P,gnat traps for indoors,2,kw,7,1,2054,0,40,0,96,1,2054,4160,0,-1,7,1,2054,218,0,-1,24,9,3,0,0,-2,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,gnat and fly traps for house indoor,2,kw,11,1,2053,0,28,-1,100,16,27,6314,0,-3,11,1,2053,364,0,-2,24,24,0,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
FALSE,B0DHRSK1GR,B0D5DJ7V4P,gnat traps for house indoor sticky,2,kw,57,1,2419,0,16,-1,100,57,2,6315,0,-3,49,1,2419,1771,0,-2,24,65,0,0,0,-3,9,1,90,2,6aa4f946-ff42-4749-8463-1ff07145ccbb,items
