biz_configuration_id,product_id,search_term,cluster_id,row_num
112,B00A8WMDUU,puzzle glue,1,0
112,B00A8WMDUU,puzzle glue clear,1,1
112,B00A8WMDUU,puzzle glue and frame,1,2
112,B00A8WMDUU,puzzle glue kit,1,3
112,B00A8WMDUU,jigsaw puzzle glue,1,4
112,B00A8WMDUU,jigsaw puzzle glue clear,1,5
112,B00A8WMDUU,glue for puzzles,1,6
112,B00A8WMDUU,puzzle saver glue,1,7
112,B00A8WMDUU,puzzle glue clear and frame,2,32
112,B00A8WMDUU,puzzle accessories for adults,3,39
112,B00A8WMDUU,puzzle accessories,3,41
112,B00A8WMDUU,modge podge puzzle glue,4,45
112,B00A8WMDUU,1000 piece puzzle frame,5,49
112,B00A8WMDUU,mod podge puzzle saver,6,53
112,B07CPR6HLD,puzzles for adults 1000 pieces,1,56
112,B07CPR6HLD,1000 piece puzzle for adults,1,57
112,B07CPR6HLD,puzzles for adults,1,58
112,B07CPR6HLD,1000 piece puzzle,1,59
112,B07CPR6HLD,1000 piece challenging puzzles for adults,1,60
112,B07CPR6HLD,jigsaw puzzles 1000 pieces for adults,1,61
112,B07CPR6HLD,adult puzzles 1000 pieces,1,62
112,B07CPR6HLD,1000 piece puzzles for adults,1,63
112,B07CPR6HLD,puzzle 1000 pieces,1,64
112,B07CPR6HLD,puzzle for adults,1,65
112,B07CPR6HLD,1000 piece puzzles,1,66
112,B07CPR6HLD,puzzles 1000 piece,1,67
112,B07CPR6HLD,adult puzzle,1,68
112,B07CPR6HLD,buffalo puzzles 1000 pieces for adults,1,69
112,B07CPR6HLD,puzzle 1000 pieces adult,1,70
112,B07CPR6HLD,puzzles 1000,1,71
112,B07CPR6HLD,puzzles 1000 pieces,1,72
112,B07CPR6HLD,fun puzzles for adults 1000 pieces,1,73
112,B07CPR6HLD,puzzles 1000 pieces for adults,1,74
112,B07CPR6HLD,puzzles for adults 1000 piece,1,75
112,B07CPR6HLD,1000 puzzles for adults,1,76
112,B07CPR6HLD,puzzles for adults 1000 pieces funny,1,77
112,B07CPR6HLD,1000 piece jigsaw puzzles for adults,1,78
112,B07CPR6HLD,adult jigsaw puzzles 1000 pieces,1,79
112,B07CPR6HLD,jig saw puzzles 1000 piece adults,1,80
112,B07CPR6HLD,puzzle adult,1,81
112,B07CPR6HLD,puzzles adult,1,82
112,B07CPR6HLD,puzzles for adults 1000 pieces and up,1,83
112,B07CPR6HLD,masterpieces puzzles 1000 pieces,2,168
112,B07CPR6HLD,master pieces 1000 piece puzzles,3,173
112,B07CPR6HLD,fun puzzles for adults,4,177
112,B07CPR6HLD,adult jigsaw puzzles,5,182
112,B07CPR6HLD,jigsaw puzzle,5,185
112,B07CPR6HLD,cool puzzles,6,190
112,B07CPR6HLD,cool puzzles for adults,6,193
112,B07CPR6HLD,funny puzzles for adults,7,197
112,B07CPR6HLD,puzzles for adults 500 pieces,8,204
112,B07CPR6HLD,1500 piece puzzles for adults,8,207
112,B07CPR6HLD,puzzles 500 pieces,8,210
112,B07CPR6HLD,puzzles for adults 1500 pieces,8,213
112,B07CPR6HLD,unique puzzles for adults,9,217
112,B07CPR6HLD,"1,000 piece puzzle",10,221
112,B07CPR6HLD,highest rated puzzles,11,225
112,B07CPR6HLD,cavallini puzzles 1000 piece,12,229
112,B07CPR6HLD,jigsaw puzzles 500 pieces,13,233
112,B07CPR6HLD,clearance jigsaw puzzles 1000,14,237
112,B07CPR6HLD,thanksgiving puzzles 1000 pieces,15,241
112,B07CPR6HLD,1500 piece puzzle,16,245
112,B07CPR6HLD,valentines puzzle,17,249
112,B07CPR6HLD,family puzzles for kids and adults,18,253
112,B07CPR6HLD,white mountain puzzles 500 piece,19,257
112,B07CPR6HLD,2000 piece puzzles for adults,20,263
112,B07CPR6HLD,puzzles 2000 pieces for adults,20,266
112,B07CPR6HLD,puzzles 2000 pieces,20,269
112,B07CPR6HLD,bits and pieces 1000 piece puzzles,21,273
112,B07CPR6HLD,vintage puzzles 1000 piece,22,277
112,B07CPR6HLD,large piece puzzles for adults,23,282
112,B07CPR6HLD,large piece puzzles,23,285
112,B073WLCQ54,steelers gifts,1,288
112,B073WLCQ54,steelers gifts for women,1,289
112,B073WLCQ54,pittsburgh steelers gifts for men,1,290
112,B073WLCQ54,steelers gifts for men,1,291
112,B073WLCQ54,pittsburgh steelers gifts,1,292
112,B073WLCQ54,pittsburgh steelers gifts for women,1,293
112,B073WLCQ54,steelers merch,2,312
112,B073WLCQ54,pittsburgh steelers,3,318
112,B073WLCQ54,pittsburgh steelers womens apparel,3,321
112,B073WLCQ54,steelers stickers,4,325
112,B073WKKVTK,49ers gifts for men,1,328
112,B073WKKVTK,49ers gifts,1,329
112,B073WKKVTK,san francisco 49ers,2,336
112,B073WKKVTK,san francisco 49ers gifts,2,337
112,B073WKKVTK,49ers gifts for women,3,345
112,B073WKKVTK,saints gifts for men,4,349
112,B092JVS3L2,elf on the shelf,1,353
112,B0CVLCX8G8,elf on the shelf,1,356
112,B073WL77CX,oregon ducks apparel,1,360
112,B073WL77CX,oregon ducks,1,361
112,B073WL77CX,oregon ducks gifts,2,368
112,B073WL77CX,university of oregon,3,373
112,B07S85Z7K8,betty boop,1,376
112,B07S85Z7K8,betty boop gifts for women,1,377
112,B0FMTB4LJV,2000 piece puzzle,1,384
112,B0FMTB4LJV,2000 piece puzzles for adults,1,385
112,B0FMTB4LJV,puzzles 2000 pieces for adults,1,386
112,B0FMTB4LJV,puzzles 2000 pieces,1,387
112,B092KR3DYV,500 piece puzzles for adults,1,400
112,B092KR3DYV,500 piece puzzle,1,401
112,B092KR3DYV,adult puzzles 500 pieces,1,402
112,B092KR3DYV,puzzles 500 pieces,1,403
112,B092KR3DYV,500 piece puzzles,1,404
112,B092KR3DYV,halloween puzzles 500 pieces,2,420
112,B092KR3DYV,halloween puzzle 500 pieces,2,421
112,B092KR3DYV,halloween jigsaw puzzles 500 pieces,2,422
112,B092KR3DYV,halloween puzzles,2,423
112,B092KR3DYV,500 piece halloween puzzle,2,424
112,B092KR3DYV,halloween jigsaw puzzles,3,442
112,B092KR3DYV,halloween jigsaw puzzle,3,445
112,B092KR3DYV,500 piece jigsaw puzzles,4,449
112,B08X4CXMVV,nfl puzzle,1,452
112,B08X4CXMVV,football puzzle,2,456
112,B08X4CXMVV,nfl games,3,461
112,B08X4CXMVV,united states puzzle,4,465
112,B073WLH1DM,eagles gifts for men,1,468
112,B073WLH1DM,eagles merch,2,473
112,B073WLH1DM,philadelphia eagles merch,2,475
112,B073WLH1DM,philadelphia eagles puzzle,3,482
112,B073WLH1DM,philadelphia eagles gifts,3,485
112,B073WLH1DM,philadelphia eagles balloons,4,489
112,B073WLH1DM,philadelphia eagles party decor,5,495
112,B073WLH1DM,philadelphia eagles decorations for party,5,498
112,B073WLH1DM,philadelphia eagles decor,5,501
112,B073WLH1DM,philadelphia eagles kids,6,505
112,B08X4DC73P,hockey gifts for boys 8-12,1,508
112,B08X4DC73P,hockey gifts for boys,1,509
112,B08X4DC73P,hockey game,2,516
112,B08X4DC73P,hockey toys for kids ages 4-8,3,521
112,B099562CKS,elf on the shelf,1,524
112,B07Z4C7DB9,polar express train,1,528
112,B07Z4C7DB9,polar express toys,2,532
112,B07Z4C7DB9,polar express decorations,3,537
112,B07Z4C7DB9,polar express party,4,541
112,B08X4CKW96,hockey toys for kids ages 4-8,1,544
112,B08X4CKW96,hockey game,2,548
112,B08X4CKW96,hockey games for boys 8-12,2,549
112,B08X4CKW96,hockey gifts for boys 8-12,3,558
112,B08X4CKW96,hockey gifts for boys,3,560
112,B08X4CKW96,hockey puzzle,4,565
112,B09VB3T8SL,3000 piece puzzle,1,568
112,B09SVJ8951,buffalo bills puzzle,1,572
112,B073WLCQ44,baltimore ravens gifts,1,576
112,B073WLCQ44,baltimore ravens,1,581
112,B0854PGYQW,wizard of oz toys,1,584
112,B0854PGYQW,wizard of oz gifts,2,588
112,B0854PGYQW,wizard of oz puzzle,2,589
112,B0854PGYQW,wizard of oz squishmallows,3,597
112,B0854PGYQW,wizard of oz dolls,4,601
112,B0854PGYQW,wizard of oz decorations,5,606
112,B0854PGYQW,wizard of oz party decorations,5,609
112,B0BC2WMCJ6,washington commanders,1,612
112,B0BC2WMCJ6,washington commanders gifts,1,613
112,B0BC2WMCJ6,commanders gifts for men,2,620
112,B0BC2WMCJ6,redskin football merchandise,3,625
112,B0BC2WMCJ6,washington redskins,4,629
112,B09969V8V7,detroit lions puzzle,1,632
112,B09969V8V7,detroit lions kids apparel,2,636
112,B09969V8V7,detroit lions baby,3,641
112,B09SVLCMC5,steelers puzzle,1,644
112,B09SVLCMC5,steelers merch,2,648
112,B0BC2YFSYT,buffalo bills gifts for men,1,652
112,B0BC2YFSYT,buffalo bills gifts,1,653
112,B073WL9C4F,cleveland browns gifts,1,660
112,B073WL9C4F,cleveland browns gifts for men,1,661
112,B07SBBXF2X,john wayne gifts for men,1,668
112,B07SBBXF2X,john wayne,1,669
112,B07SBBXF2X,john wayne gifts,1,670
112,B07SBBXF2X,cowboy playing cards,2,680
112,B07SBBXF2X,christmas playing cards,3,685
112,B07SBBXF2X,dog playing cards,4,689
112,B073WLXZC2,raiders fathers day gifts,1,692
112,B073WLXZC2,raiders gifts for men,2,696
112,B073WLXZC2,raiders gifts,2,697
112,B073WLXZC2,las vegas raiders gifts for men,2,698
112,B073WLXZC2,raiders gifts for women,3,709
112,B073WLXZC2,oakland raiders,4,713
112,B09VB4QXM2,3000 piece puzzle,1,716
112,B09VB4QXM2,2000 piece puzzle,2,720
112,B09VB4QXM2,puzzles 2000 pieces,2,721
112,B01B6DRBME,norman rockwell puzzle,1,728
112,B01B6DRBME,norman rockwell,1,729
112,B01B6DRBME,masterpieces puzzles 1000 pieces,2,736
112,B01B6DRBME,puzzle 1000 pieces,2,737
112,B01B6DRBME,puzzles 1000 piece,2,738
112,B01B6DRBME,adult puzzles 1000 pieces,3,750
112,B01B6DRBME,puzzles 1000 pieces for adults,3,753
112,B01B6DRBME,vintage puzzles 1000 piece,4,757
112,B087SHVV8R,polar express book,1,760
112,B087SHVV8R,polar express toys,2,764
112,B087SHVV8R,polar express decorations,3,769
112,B087SHVV8R,polar express train,4,773
112,B087SHVV8R,polar express party,5,777
112,B0BC2W85HM,chicago bears gifts,1,780
112,B0BC2W85HM,chicago bears,1,781
112,B0BC2W85HM,chicago bears gifts for men,1,782
112,B0BC2W85HM,chicago bears baby,2,792
112,B0BC2W85HM,chicago bears socks,3,797
112,B0BC2W85HM,chicago bears kids apparel,4,801
112,B0C63BQ72H,a christmas story merchandise,1,804
112,B0C63BQ72H,christmas vacation puzzle,2,808
112,B015U14RI4,chicago puzzle,1,812
112,B07Q89TQXW,jigsaw puzzles,1,816
112,B07Q89TQXW,500 piece jigsaw puzzles,1,817
112,B07Q89TQXW,300 piece jigsaw puzzles,1,818
112,B07Q89TQXW,puzzles for adults 500 pieces,2,828
112,B07Q89TQXW,500 piece puzzles for adults,2,829
112,B07Q89TQXW,500 piece puzzles for adults clearance,2,830
112,B07Q89TQXW,puzzles 500 pieces,2,831
112,B07Q89TQXW,300 piece puzzles for kids,3,846
112,B07Q89TQXW,300 piece puzzles,3,849
112,B07Q89TQXW,100 piece puzzles for adults,4,855
112,B07Q89TQXW,puzzle for adults,4,858
112,B07Q89TQXW,puzzle adult,4,861
112,B07Q89TQXW,puzzles for kids ages 8-10,5,865
112,B07Q89TQXW,350 piece puzzles for adults,6,872
112,B07Q89TQXW,puzzles 300 pieces for adults,6,874
112,B07Q89TQXW,puzzle 300 pieces adult,6,877
112,B07Q89TQXW,200 piece puzzles for adults,7,882
112,B07Q89TQXW,250 piece puzzles for adults,7,885
112,B07Q89TQXW,puzzles for kids ages 10-12,8,889
112,B07Q89TQXW,family puzzles for kids and adults,9,893
112,B0BC2WC1JY,green bay packers merch,1,896
112,B0BC2WC1JY,green bay packers,1,897
112,B0BC2WC1JY,green bay packers gifts,1,898
112,B0BC2WC1JY,green bay packers gifts for men,2,908
112,B0BC2WC1JY,packers gifts for men,2,909
112,B0BC2WC1JY,greenbay packers merch for men,3,917
112,B0BC2WCKRH,kansas city chiefs puzzle,1,920
112,B08FF4LYLV,polar express train,1,924
112,B08FF4LYLV,polar express toys,2,928
112,B08FF4LYLV,polar express decorations,3,933
112,B09VB3QXR9,3000 piece puzzle,1,936
112,B09VB3QXR9,puzzles 2000 pieces for adults,2,940
112,B0BC2TYCGM,mn vikings,1,944
