product_id,parent_product_id,title,description,features
B0F3JVD6B2,B0F3JQXKWJ,Betty Boop Earrings - Bandana - Mid-South Products,"Description

Mid-South Products was founded by local Memphian Mark King back in 1975. Located in Memphis, TN, we are a licensed manufacturer and distributor of nostalgia souvenirs. All products are licensed and bona-fide.","Beautiful earrings featuring Betty Boop winking and wearing a red bandana; Made of high quality zinc alloy, nickel-free, lead-free, cadmium-free, silver plated hook; Lightweight and comfortable for all day wear; Licensed for Mid-south Products; Ideal gift for any Betty Boop fan"
B0DG1VM2X3,B0DG1VM2X3,"Nuritus Hockey Gifts, Hockey Gifts for Boys Girls 8-12, Best Hockeys Gift for Men Women, Great Field-Hockey Gift for Player, Unique Hockeys Presents Blanket 50""X60""","The hockey blanket gift is a wish for women/men , wishing her/him and the team the best of luck! Besides, this blanket can remind her that no matter what happens, you are proud of her/him.",
B001BGU318,B001BGU318,Hallmark 1997 Wizard of Oz King of the Forest (Set of 4) Miniature Ornaments,Hallmark Ornament from 1997 consisting of 4 miniature ornaments depicting the King of the Forest from the Wizard of Oz,
B09QM634VF,B09QM634VF,The Wizard Of Oz Crew Socks - SHOE SIZE (5-10 Men) (7-12 women),"Description

Get your own piece of movie magic with these fun and festive The Wonderful Wizard Of Oz Socks. These novelty socks feature the iconic characters from the beloved movie, with Dorothy, Tin Man, Cowardly Lion, and Scarecrow set against the backdrop of Emerald City. A great way to bring a bit of extra cheer to any outfit or costume. Crafted from comfortable materials and featuring an eye-catching design, these socks are perfect for everyday wear as well as special occasions.","Crafted from a blend of 82% polyester, 16% cotton, and 2% spandex, these socks will stand the test of time. Their fabric resists shrinking and fading, while still maintaining a breathable and soft feel against the skin. With good care, the vivid colors and designs will remain vibrant for years; One pair of crew socks; Machine washable; Reinforced toe & heel; Female Model Shown shoe size is 7 for reference."
B0BM9RFWQD,B0BP2237XQ,Sports Poster Justin Jefferson Canvas Poster Wall Art Decor Print Picture Paintings for Living Room Bedroom Decoration Unframe: 12x18inch(30x45cm),"We are 24 hour's online (Look forward to your advice).

if you need other size,please leave a message to me.We also can customize any design, you can send us the pictures of you, we can create for you.

To Dear Buyer
* Pattern and the color: As the image shows
* Material: Canvas
* Condition: New
*Place of origin: China
*Quality: High Quality AAA+++, Canvas print painting (Not handmade painting)
*It is the perfect painting will dramatically decorate your home, office, hotel, garden and so on. It is a wonderful gift for your teacher, your classmate, your friends, your family, etc.
Share: We love Art so much,Art make people more Closely,Please enjoying all art we make on my Shop,also can enjoy the art you love to us,Thanks.
Start your Art Travel on my Shop Now,Finding the Amazing Art and enjoying your Time!","In the color options, you can choose a framed style and unframe style. Order according to your needs.; If you like this series of posters, please enter my shop to search.; SUPERIOR QUALITY: They are High Resolution Images Printed on canvas, using waterproof, ECO-solvent ink. The Artwork is Waterproof, UV-resistant and color fading-resistant for more than 30 years.; Canvas posters are different from paper posters in that they will not deteriorate due to environmental factors such as humidity.; If you need a customized poster, please contact us."
B0CHJVCQ3J,B0CWQLBGH9,TSOTMO 2 Pairs Baseball Socks Please Do Not Disturb I’m Watching The D Socks Gift For Baseball Player (DODGERS socks),"Description

Welcome to LLYYOO. Occasions for this crew socks:perfect for everyday weak,sports,boot,hiking,running,flying and travelling and all kinds of athletic activities.","【 QUOTE SOCKS 】With funny quote on the bottom of the socks. A perfect treat for yourself or others you want to gift.; 【 COMFY MATERIAL 】Made of 80% Combed Cotton,17% polyester,3% Elastane to ensure our socks soft,comfortable,stretchy and breathable.No Fading,Machine Washable,Hold up well in the laundry.; 【CASUAL SOCKS 】Highly elastic,durable and comfortable, heel and toe construction ,comfortable stretch for all day long.Occasions for this crew socks:perfect for everyday weak,sports,boot,hiking,running,flying and travelling and all kinds of athletic activities.; 【 NOVELTY SOCKS】Thoughtful gift to surprise your loved one with. socks for men, women dad, mom, brother, sister, grandpa, grandma, uncle, aunt, best friend, roommate, coworker, boss, husband, wife, girlfriend, boyfriend, cousin, father/mother/brother in laws, him, her and the lists goes on. Add more fun.; 【GUARANTEE】-100% satisfaction and money back guarantee.if there are any problems with the purchase,please feel free to contact us first.we will offer you best shopping feeling."
B078Z257XH,B078Z257XH,Double Interlink Entwined Hearts Handcrafted Wooden Secret Jewelry Puzzle Box - Hearts,"Description

This Interlink Entwined Hearts shape Secret jewelry box can only be opened if you know the secret. Perfect gift for that special someone. Beautifully Hand Made Wooden Box with Hand-carved embossed Elephant on the lid. It has a secret locking device, although the big secret opening isn't all that difficult to figure out. It is brand new. Each individual box is unique, they may look different from each other since every part of the box is made of a unique wood material; Every piece comes in the original manufacturer's packaging. The photos here show an example of the item for sale. The coloring, grain and stripes might be different piece to piece, due to their uniqueness; Exterior Dimension (L X W X D): 5""(12.5 cm) X 4""(10 cm) X 2 1/8""(5.5 cm); Interior Dimension (L X W X D): 4 1/2""(11 cm) X 3 1/2""(9 cm) X 3/4""(2 cm); It is simple, well made, and useful for jewelry, money, or anything small in size you want storage for. You will get a lot of compliments on it","Wooden puzzle box as known as Wooden Jewelry Box and was designed to store gifts such as jewelry and watches, etc...; If this is your first use, it will take time to open and close the lid, because for opening the box you must figure out its hidden wooden keys. This feature will create curiosity for the receiver. Also due to this brilliantly designed key, Wooden Jewelry Box is called wooden puzzle box; The surface of wooden puzzle box is decorated with art image - Double Interlink Entwined Hearts, which is very skillful and beautiful, for you to get unique gifts for your friends and family; Made with maple, walnut and teak and lined with Red Velvet; Great Box For Jewelries and anything small in size as a trinket or keepsake"
B0B62XJ9YX,B0B62XJ9YX,"YouTheFan NFL Dallas Cowboys Joe Journeyman NFL Puzzle & Bonus Poster, Team Colors, 15"" X 20""","YouTheFan: officially licensed sports products specifically for you the fan- including StadiumViews, Fan Banners, Sportulas, Grill Sets, Boaster Drink Coasters, Puzzles and more for over 500 NFL, NCAA, NHL teams",
B0F58YDNYD,B0F58YDNYD,Cute Pair of Ruby Slipper Drop and Dangle Earrings for Women. Wonderful Wizard Oz Themed,"Description

Step into the magic of classic fantasy with these enchanting ruby slipper dangle earrings. Inspired by the beloved tale of the Wizard Oz, these charming accessories feature deep red crystal ballet slippers that capture light beautifully with every movement. Each earring showcases a brilliant round ruby-colored crystal stud that connects to an intricately designed ballet slipper pendant. The silver-tone settings perfectly complement the rich red hue of the crystals, creating a striking contrast that draws attention. These whimsical earrings make a perfect statement piece for both casual outings and special occasions. They're ideal for fans of the timeless story or anyone who appreciates unique, eye-catching jewelry. The lightweight design ensures comfortable wear throughout the day, while the secure fastening keeps them safely in place. Add a touch of storybook wonder to your jewelry collection with these delightful ruby slipper earrings.","DESIGN INSPIRATION: Charming ruby red 3D slipper earrings inspired by the magical world of Oz, featuring delicate bow details and sparkling finish; MATERIALS: Silver-tone metal settings with deep red ruby crystal studs and translucent ruby-colored acrylic slipper charms; STYLE: Eye-catching dangle design combines a round red Ruby stud with an elegant slipper drop for a whimsical statement piece; VERSATILITY: Perfect for both casual and dressy occasions, these earrings add a touch of fantasy to any outfit while remaining sophisticated; DIMENSIONS: Each slipper charm measures approximately 1 inch in length, making these earrings a noticeable yet tasteful accessory"
B0DCN3F1PW,B0DCN3F1PW,"Cute Pair of Ruby Slipper Style Earrings for Women, Oz Costumes, and More. Wicked Cute Pair of Ruby Slippers Drop and Dangle Earrings with Glitter Outline for Women. Ruby Slipper Costume Accessories for Women.","Description

What are you waiting for? Go over the rainbow with these super cute affordable Oz inspired earrings. The perfect pair of earrings to go with any outfit!","OFF TO OZ: These cute red slippers inspired earrings for women are the perfect pair of earrings to go back to your childhood. Each pair of drop and dangle red ruby slipper accessories for women are sure to be your favorite pair.; LIGHTWEIGHT: Weighing in at only 1oz, these are the perfect pair of lightweight drop and dangle earrings to become your daily wearers. They are sure not to weigh down or irritate your ears. These earrings are a great gift to your friend with sensitive ears.; FUN FOR TEACHERS: Looking for a fun pair of earrings to wear on reading day? Take your class back to Oz with these super cute pair of ruby slipper earrings for women. These earrings are sure to become your favorite lightweight pair of costume jewelry for years to come.; GREAT FOR COSTUMES: Whether you are dressing up as the Wicked Witch of the West, or any other of your favorite characters from the classic book, these super cure red slipper style earrings are sure to pair great! Perfect for Dorthy costumes.; SUPPORT SMALL BUSINESS: We are a small USA based business doing our best to bring you some of the most fun and affordable accessories without breaking the bank. We thank you for trusting us with your business!! Please contact us if you encounter any issues with our products."
