product_id,parent_product_id,title,description,features
B0D9MRYPY4,B0722N22JR,"Sweet Potato Slices For Dogs - Soft & Chewy - Single Ingredient Dog Treats, Healthy 100% Natural Sweet Potato Dog Treats With No Added Preservatives - Softer & Great For Puppies Or Senior Dogs (5lb)",,"Brutus & Barnaby stands behind our products, we promise that you and your dog will love our treats or we will take them back no questions asked. If you are dissatisfied and your order page doesn’t allow returns, please reach out to us and we will help you.; Softer & Chewier - These dehydrated sweet potato slices are soft & easier to chew so you can give the same healthy dog treats to puppies, senior dogs, or dogs who require softer chews. Great source of natural vitamins and minerals, and natural anti-oxidants.; Our dried sweet potato dog treats are thicker cut for a long lasting chew. Give these vegetarian dog treats often guilt free as there is zero fat, no added sugar, and fiber that helps balance blood sugar levels (great for senior diabetic dogs).; Sweet potato dog chews are Gluten Free & Grain Free, so are easier to digest. Excellent treat for dogs on a raw food diet or allergic to other things. Plus can easily be cut or torn into smaller strips or sweet potato chunks.; Our grain free sweet potato dog treats are great for dogs of all ages - easy to chew, easy to digest, perfect for teething puppies, older dogs, senior dogs on a diet, or even can use as training treats."
B08GP4GTL8,B0FCD37Z5V,Pawant Dog Treats Soft Chews Rawhide Free Chicken Wrapped Cod Sticks for Puppy Training Snacks Dog Chews Treats 0.5lb/227g,,"Chicken Wrapped Cod Sticks Dog treats. Natural ingredients, hand Made, no harmful ingredients. have no artificial ingredients, fillers, or preservatives, this is a rawhide free dog chews with real chicken are high in protein and low in fat, easy to digest.; This Chicken Wrapped Cod Stick made of premium chicken and Cod. All of the ingredients have passed strict inspection to ensure safety for your dog.; Perfect for training, and also help for nourish dog’s hair, condition dog’s stomach, improve dog’s digestion, and make dog energetic. Regular use aids dental health in canines and is helpful for your pet's overall health.; Please guarantee your order it from Pawant, extremely strict on quality control and we focus on Care, Nutrition, Growth, and Health. 100% refund if your dog doesn't enjoy with our dog treats.; If your puppy has not tried our product, please don't hesitate to order it now, it is a trustworthy product. Your dog will love this good product and healthy treat."
B09L8B2MJ1,B0FC5R2RMF,Pawant Sweet Potato Dog Treats no Rawhide for Small and Large Dog Sticks Puppy Training Snacks Grain Free 1 lb/454g,,"[Natural Dride Sweet potato] Pawant Sweet Potato Dog Treats are made from 100% pure natural dried sweet potato strips, ensuring your furry friend enjoys a healthy, non-fried snack without any harmful additives, grains free and gluten free, perfect for maintaining their well-being.; [Rawhide Free] These sweet potato for dogs treats are carefully prepared rawhide free, offering a rich source of essential vitamins and dietary fiber to support your dog's digestive health and overall vitality.; [Low Fat and Low Calorie] With sweet potato low-fat and low-calorie content, Pawant Sweet Potato Dog Treats are an ideal choice for pet owners looking to help their dogs manage weight or maintain a healthy lifestyle without sacrificing taste.; [Dog Training Treats] Pawant Sweet Potato Chews serve as a delicious and nutritious training reward or dog gift, made from high-quality sweet potato fries dog treats that dogs love, promoting positive behavior and bonding moments.; [All breeds sizes dogs love] Our dog sweet potato treats are not only a tasty snack but also a wholesome option for dogs of all sizes and breeds, providing a satisfying chew that's free from artificial ingredients, ensuring your pet's safety and happiness."
B09L894VQD,B0FC5R2RMF,Pawant Sweet Potato Dog Treats no Rawhide for Small and Large Dog Sticks Puppy Training Snacks Grain Free 0.5lb/227g,,"[Natural Dride Sweet potato] Pawant Sweet Potato Dog Treats are made from 100% pure natural dried sweet potato strips, ensuring your furry friend enjoys a healthy, non-fried snack without any harmful additives, grains free and gluten free, perfect for maintaining their well-being.; [Rawhide Free] These sweet potato for dogs treats are carefully prepared rawhide free, offering a rich source of essential vitamins and dietary fiber to support your dog's digestive health and overall vitality.; [Low Fat and Low Calorie] With sweet potato low-fat and low-calorie content, Pawant Sweet Potato Dog Treats are an ideal choice for pet owners looking to help their dogs manage weight or maintain a healthy lifestyle without sacrificing taste.; [Dog Training Treats] Pawant Sweet Potato Chews serve as a delicious and nutritious training reward or dog gift, made from high-quality sweet potato fries dog treats that dogs love, promoting positive behavior and bonding moments.; [All breeds sizes dogs love] Our dog sweet potato treats are not only a tasty snack but also a wholesome option for dogs of all sizes and breeds, providing a satisfying chew that's free from artificial ingredients, ensuring your pet's safety and happiness."
B08GPJK6QF,B0FCD37Z5V,Pawant Dog Treats Soft Chews Rawhide Free Chicken Wrapped Cod Sticks for Puppy Training Snacks Dog Chews Treats 1lb/454g,,"Chicken Wrapped Cod Sticks Dog treats. Natural ingredients, hand Made, no harmful ingredients. have no artificial ingredients, fillers, or preservatives, this is a rawhide free dog chews with real chicken are high in protein and low in fat, easy to digest.; This Chicken Wrapped Cod Stick made of premium chicken and Cod. All of the ingredients have passed strict inspection to ensure safety for your dog.; Perfect for training, and also help for nourish dog’s hair, condition dog’s stomach, improve dog’s digestion, and make dog energetic. Regular use aids dental health in canines and is helpful for your pet's overall health.; Please guarantee your order it from Pawant, extremely strict on quality control and we focus on Care, Nutrition, Growth, and Health. 100% refund if your dog doesn't enjoy with our dog treats.; If your puppy has not tried our product, please don't hesitate to order it now, it is a trustworthy product. Your dog will love this good product and healthy treat."
B09F8SML83,B0FMBC7F88,"Redbarn Pet Products Recbarn Natural 12"" Beef Collagen Braids - Case of 20 Sticks - Long Lasting Low-Odor Alternative to Rawhide & Bully Sticks -Single Ingredient Chew for Medium Large Dogs",,"All Natural – Redbarn’s Beef Collagen Chews for dogs are single-ingredient dental treats. These tasty, natural dog chews are naturally grain free. No hidden ingredients, chemicals, additives, or fillers in our premium beef collagen sticks for dogs. This long-lasting dog chew contains no artificial flavors, preservatives, or colors.; Top Quality Treats – Our Collagen dog chews are top-quality dog chews for aggressive chewers. These Collagen Sticks will satisfy their natural instinct to chew for the perfect pairing of health and taste. They are made from the deepest inner layer of beef skin, making them more digestible than traditional dog rawhide chews. The tough gnawable texture and savory beefy flavor make them irresistible. Now, your fur kid can enjoy a great-tasting & gut-friendly treat!; Helps Improve Flexibility & Mobility – Satisfies their natural instinct to chew for the perfect pairing of health and taste. The tough gnawable texture and savory beefy flavor make them irresistible. Redbarn Collagen Sticks are packed with Chondroitin & Glucosamine. Together, glucosamine and chondroitin help repair joints and promote healthy cartilage. Collagen can be broken down into easy-to-absorb amino acids called collagen peptides. Collagen peptides helps improve flexibility & mobility.; Supports Healthy Teeth & Gums – Chewing is a natural boredom-buster, stress-reliever, and plaque-remover for your dog. This durable, long-lasting treat will keep your power chewer busy! Like our bully sticks, collagen sticks help remove tartar & plaque buildup through the mechanical action of chewing. These dog collagen sticks help keep the dog’s teeth healthy and clean. Our Collagen Sticks are thicker than your average pizzle sticks and last longer than regular beef jerky for dogs.; Safety is our top priority. Our in-house quality assurance team performs more than 2,500 tests per month. Each bone is naturally cleaned without the use of bleach or harsh chemicals and baked in ovens for increased safety and durability."
B077JBYP6P,B077JBYP6P,Greenies Pill Pockets 15.8 Oz. Chicken And Hickory Smoke-Flavored Dog Treats Bundle - (31.6 Oz. Total),,"When It Comes To Taking Medicine, Pets Will Eat Anything You Give Them Except The Meds Themselves, So We Made A Tasty Treat That'S A Smarter Way To Help The Medicine Go Down; Healthier Alternative To Human Foods, Such As Cheese Or Peanut Butter; Greenies Pill Pockets Are Made With Natural Ingredients; This Healthy Dog Treat Comes In A Variety Of Flavors, Including Chicken, Real Peanut Butter And Hickory Smoke; They Mask The Smell Of The Medication For A Stress-Free, Mess-Free Experience; Pill Pockets Treats For Dogs Are Easy To Use. Just Place The Medicine Capsule Or Tablet Inside The Pocket, Pinch It Closed And Share It With Your Dog; Give Your Dog Medicine Disguised As A Great-Tasting Dog Treat; Pets Are Smart About Avoiding Their Meds, But You'Re Smarter; Designed And Recommended By Vets, Greenies Pill Pockets Treats For Dogs Make It Easy To Give Your Dog Medicine, Greenies Pill Pockets Help Mask The Smell Of Medication"
B08GCSSN6R,B08GCSSN6R,Pet MD Wrap-A-Pill Variety Pack - Peanut Butter & Cheese Bacon Flavored Pill Paste for Dogs - 4.2 oz Each,,"Pet MD Wrap A Pill Fits Any Size Pill or Capsule: Pinch off as much or as little as you need to create custom pill pouches for your pet's medication.; Two Delicious Flavors to Choose From: Savory Cheese & Bacon or sweet Peanut Butter- this bundle has them all! Your dog will fail to sniff out their medication under one of these highly palatable treats.; Pill Pockets for Picky or Nervous Pets: To ease anxiety or stress related to medication time, use any Wrap a Pill flavor (or make your own mix) for an easier and more enjoyable experience for you and your pet.; For Short or Long-Term Medication Administration: Whether your dog needs medication for a short illness or chronic condition, Pet MD Wrap a Pill can help keep them on track with their medication regimen and dosing.; Tasty Low-Calorie Formula Won't Interfere with Diet: Pet MD Wrap a Pill's low calorie formula has just one-third of the calories of other leading brands, making it a better option to keep your pet on track with dietary needs."
B08GCTT2MP,B08GCTT2MP,"Pet MD Wrap-A-Pill Variety Pack - Peanut Butter, Cheese & Bacon Flavored Pill Paste for Dogs - 4.2 oz Each",,"Pet MD Wrap A Pill Fits Any Size Pill or Capsule: Pinch off as much or as little as you need to create custom pill pouches for your pet's medication.; Three Delicious Flavors to Choose From: Savory Cheese & Bacon, sweet Peanut Butter, and smoky Bacon- this bundle has them all! Your dog will fail to sniff out their medication under one of these highly palatable treats.; Pill Pockets for Picky or Nervous Pets: To ease anxiety or stress related to medication time, use any Wrap a Pill flavor (or make your own mix) for an easier and more enjoyable experience for you and your pet.; For Short or Long-Term Medication Administration: Whether your dog needs medication for a short illness or chronic condition, Pet MD Wrap a Pill can help keep them on track with their medication regimen and dosing.; Tasty Low-Calorie Formula Won't Interfere with Diet: Pet MD Wrap a Pill's low calorie formula has just one-third of the calories of other leading brands, making it a better option to keep your pet on track with dietary needs."
B0CJLZN2GV,B0CJLZN2GV,"Visionary Pet Foods Healthy Dog Treat Bundle - Chicken Meat Spread and Beef Freeze dried treats, No Sugar and Filler Free - Use on Lick Mat, Food Mixer, Pill Pockets - 12oz Jar and 25oz Value Size Bag",,"Pure and Natural - Crafted in USA from real freeze dried beef and meat spread, Why settle for the ordinary when your pooch can relish the extraordinary? Visionary Pet Foods Dog Food, isn't just crafted with gusto; it's a culinary carnival in a bag! And you can trust every bite is American dreamy, as we patriotically produce our pet provisions in the USA, sourcing ingredients from top notch suppliers. Give your dog the gift of gastronomic joy, minus all the bad fillers and additives. Keto frien; High-Protein freeze dried dog food - Enhance your pet's diet with our low carb, freeze dried dog food medallions even for picky eaters. These Natural beef patties are ideal as healthy dog treats or as dog food toppers that provide essential nutrients. High Quality ingredients - Why settle for the ordinary chow when your furry friend can indulge in Visionary Pet Foods Beef Freeze Dried Dog Food. Crafted with fresh human-grade ingredients, this gastronomic delight ensures your pooch is dining on t; Grain Free, Healthy Dog Treats - Our freeze dried food and meat spread offers high protein option. Perfect for on-the-go training, these treats are a nutritious addition to your dog's diet. Each freeze dried medallion packs about 16 calories, aligning with the recommended 16 calories per day per pound of your dog's weight. It's the gourmet way to keep your pup's waistline as trim as a fashionista's figure while fueling their every frolic and fetch!; Low Carb, Sugar Free and Additive Free - Our Chicken and Ghee Meat Spread is healthier than pumpkin for dogs, very low in carbohydrates, so it helps with weight control for your dog. Helps with skin allergies and if you are looking for healthy xylitol free peanut butter for dogs - Visionary Pet Foods Meat Spread is the right choice. Many uses in dog treat pouch, enrichment toys or a dog food mat, as lickable dog treat, meal mixer, dog food spread or Pill pockets.; Anxiety and Stress Relief - This meaty treat is not just a healthier alternative to dog peanutbutter but also the perfect way to soothe your pup's anxiety. Ideal for filling chew toys or lick mats, it provides a calming experience that helps your furry friend relax. Whether used as a pill pockets dog peanut butter or a meal topper, this Chicken Meat Spread is crafted to help your dog 'chillax' during those times of extra stress. A natural peanut butter alternative that is a calming dog treat."
